date,use,demand (TWh)
2025-06-27,"NTS Energy Offtaken, Powerstations Total",0.191945251
2025-06-26,"NTS Energy Offtaken, Industrial Offtake Total",0.024956848
2025-06-26,"NTS Energy Offtaken, LDZ Offtake Total",0.503888657
2025-06-26,"NTS Energy Offtaken, Powerstations Total",0.209581229
2025-06-25,"NTS Energy Offtaken, Industrial Offtake Total",0.037353616
2025-06-25,"NTS Energy Offtaken, LDZ Offtake Total",0.551576222
2025-06-25,"NTS Energy Offtaken, Powerstations Total",0.458831783
2025-06-24,"NTS Energy Offtaken, Industrial Offtake Total",0.023516635
2025-06-24,"NTS Energy Offtaken, LDZ Offtake Total",0.516888506
2025-06-24,"NTS Energy Offtaken, Powerstations Total",0.165766703
2025-06-23,"NTS Energy Offtaken, Industrial Offtake Total",0.024081999
2025-06-23,"NTS Energy Offtaken, LDZ Offtake Total",0.5146758
2025-06-23,"NTS Energy Offtaken, Powerstations Total",0.155113781
2025-06-22,"NTS Energy Offtaken, Industrial Offtake Total",0.02388438
2025-06-22,"NTS Energy Offtaken, LDZ Offtake Total",0.429544052
2025-06-22,"NTS Energy Offtaken, Powerstations Total",0.147208874
2025-06-21,"NTS Energy Offtaken, Industrial Offtake Total",0.025720238
2025-06-21,"NTS Energy Offtaken, LDZ Offtake Total",0.421770838
2025-06-21,"NTS Energy Offtaken, Powerstations Total",0.193716368
2025-06-20,"NTS Energy Offtaken, Industrial Offtake Total",0.025954879
2025-06-20,"NTS Energy Offtaken, LDZ Offtake Total",0.473684704
2025-06-20,"NTS Energy Offtaken, Powerstations Total",0.294984204
2025-06-19,"NTS Energy Offtaken, Industrial Offtake Total",0.027065163
2025-06-19,"NTS Energy Offtaken, LDZ Offtake Total",0.509911694
